[01/05] CS Ratio: 45, Total Loss: 0.0037
[02/05] CS Ratio: 45, Total Loss: 0.0021
[03/05] CS Ratio: 45, Total Loss: 0.0017
[04/05] CS Ratio: 45, Total Loss: 0.0007
[05/05] CS Ratio: 45, Total Loss: 0.0058
[01/200] CS Ratio: 45, Total Loss: 0.0055
[02/200] CS Ratio: 45, Total Loss: 0.0017
[03/200] CS Ratio: 45, Total Loss: 0.0003
[04/200] CS Ratio: 45, Total Loss: 0.0010
[05/200] CS Ratio: 45, Total Loss: 0.0002
[06/200] CS Ratio: 45, Total Loss: 0.0004
[07/200] CS Ratio: 45, Total Loss: 0.0020
[08/200] CS Ratio: 45, Total Loss: 0.0001
[09/200] CS Ratio: 45, Total Loss: 0.0021
[10/200] CS Ratio: 45, Total Loss: 0.0002
[11/200] CS Ratio: 45, Total Loss: 0.0003
[12/200] CS Ratio: 45, Total Loss: 0.0001
[13/200] CS Ratio: 45, Total Loss: 0.0008
[14/200] CS Ratio: 45, Total Loss: 0.0008
[15/200] CS Ratio: 45, Total Loss: 0.0005
[16/200] CS Ratio: 45, Total Loss: 0.0001
[17/200] CS Ratio: 45, Total Loss: 0.0003
[01/02] CS Ratio: 45, Total Loss: 0.0024
[02/02] CS Ratio: 45, Total Loss: 0.0023
